x,y
4480.1,3977.8
4505.2,3981.6
4523.4,3981.4
4458.6,3982.1
4490.1,3984.5
4531.7,3984.1
4483,3986
4536.7,3987.5
4490.8,3992.3
4303.1,3995.8
4512.5,3997.5
4691.5,3998.9
4519.7,4000.7
4471.8,4012.7
4476.8,4015.9
4149.8,4018.2
4572.5,4021.2
4514.2,4032
4673.8,4054.5
4699.8,4067.2
4691,4064.9
4703.7,4079.3
4697.7,4080.9
4720.5,4083.6
4708.1,4083.7
4007.7,4092.7
4194.3,4092.9
4671.3,4106.3
4727,4107.2
4206.3,4111.9
4396.9,4113.7
4707.1,4113.4
4680.3,4119.5
4390.6,4123.7
4530,4123.5
4688.9,4134.9
4758.7,4145.1
4763,4150.7
4625.4,4150.2
4344.3,4150.7
4620.4,4156.6
4554.6,4162.8
4740.3,4169.6
4707.2,4174.8
4711.9,4180.4
4762.7,4180
4605.7,4186.3
4679,4199.6
4738.1,4203.8
4740.8,4215
4755.1,4218.2
4712.5,4229.6
4762,4234.2
4708.6,4265.4
4585.6,4307.7
4735.9,4308.9
3984,4324.9
4135.9,4325.8
4479,4331.6
4479.4,4338.2
4407.9,4344.8
4044,4371.4
4771.2,4371.4
4354.1,4381.1
4381.4,4385.3
3679.7,4391.9
3261.3,4391.7
3557.9,4407.3
3786.7,4420.3
3461.6,4434.1
3663.9,4433.5
3904.1,4447.6
3732.4,4472
3843.6,4476
3742,4479.4
3500,4489.8
3647,4490.3
3603.4,4491
3559,4491.5
3502.4,4496.8
3570,4501.1
3497.2,4507.9
3573.7,4508.7
3639,4512.9
3692.4,4526.2
3557.6,4533.2
3729.9,4533.6
3669.1,4536.7
3872.1,4546.1
3199.6,4548.8
3590.2,4553.8
3804.4,4557.8
3196.8,4586.5
3582.4,4592.2
3835.8,4596.7
3582.1,4598.8
3750.7,4601.6
3748.9,4608.7
3804.7,4614.1
3751.4,4621.4
3862.3,4623.3
3469,4635.8
3816.2,4636
3926.5,4656.9
3934.7,4662.1
3550.2,4674.2
3894.6,4676
3787.9,4674.9
3527,4685.7
3200.9,4688.5
3859.8,4693.7
3701.4,4729.8
3737.9,4751.4
3737.5,4757
3948.9,4767.4
3847.5,4770.4
3958.9,4771.7
3843.9,4773.9
3967.6,4789.6
3338.5,4835.6
3344.7,4840.9
3994.8,4890.2
3660.4,4904.3
3513.1,4912.7
3820.6,4961.4
3215.6,4985
3179.2,5032.8
3884.4,5052.9
3384.9,5055.5
3768.4,5058.2
3827.4,5065.5
3757.4,5110.1
3763.8,5110.9
3792.1,5113.7
3882.9,5124.5
3415.8,5132
3741.4,5135
3862.2,5144.8
3591,5213.6
3557.2,5234.3
3888.9,5238.7
3278.5,5282.9
4783.1,4445.1
4467.8,4455.1
4509.9,4467
4364.3,4565.5
4782.2,4657.7
4393.6,4712.6
3969.4,4720.7
4023.4,4726.7
4050,4754.6
4020.4,4793.1
4006.5,4824.3
4009.7,4831.3
4121.7,4839.8
4111.8,4848.8
4068.8,4849.3
4303.2,4878.1
4074.8,4880.1
4207.3,4890.4
4440.7,4893.9
4159.4,4902.8
4021.5,4905.3
4058.9,4913.9
4151.4,4914.6
4252.6,4924.5
4098.5,4927.7
4181.6,4930.4
4214.4,4933.8
4304,4935.9
4061.2,4939.3
4288.9,4940.5
4346.1,4941.8
4066.9,4941.3
4099.1,4942.3
4669.6,4950.3
4652.7,4962.3
4281.5,4973.8
4097,4977.9
4081.9,4979.7
4449.7,4984.6
4082.9,4985.1
4197.3,4992.2
4098.5,4993.2
4477,4996.4
4081.9,5003
4096.9,5005.2
4432.4,5005.3
4092.2,5010.6
4179.1,5011.5
4312.7,5013.7
4105.4,5015.3
4636.6,5024.9
4281.4,5026.1
4105.8,5027.8
4272.4,5029.1
4287.7,5029
