x,y
3779.6,4931.8
3185.8,4929.3
3220.8,4925
3260,4926.6
3625.2,4928.7
3213,4925.5
3366.6,4925.5
3722.1,4929.1
3515.2,4925.5
3355.9,4927.3
3371.5,4929
3889.9,4927.3
3566,4927.2
3450.8,4934
3884.7,4929
3319.3,4929.4
3743.5,4931.8
3230.5,4930.7
3649.1,4928.7
3641,4931.4
3294.9,4929.6
3595.8,4929.6
3803.5,4932.7
3284.3,4932.1
3329.1,4935.1
3413.1,4933.4
3826.1,4931.7
3844.1,4931.6
3918.9,4932.4
3463,4935.1
3566.3,4932.5
3736.4,4933.6
3483,4934.3
3858.1,4933.5
3928.5,4933.9
3316.2,4939.5
3611.2,4935.4
3632.2,4939.4
3658,4935.2
3255.4,4936.7
3352.2,4934
3888.2,4937
3196.5,4937
3296.4,4940.1
3526.5,4934.6
3552.8,4935.6
3499.4,4935.4
3676.6,4936.2
3863.8,4937
3356.6,4940.1
3369.2,4938
3405,4936.1
3998.2,4940
3753.5,4940.4
3824.5,4938.6
3832.6,4938.6
3847.5,4938.1
3597.3,4939.4
3398.8,4940.9
3717.5,4940.7
3923.5,4941.4
3346.5,4943.9
3774.6,4942.3
3269.2,4944.1
3533.5,4942.1
3604.1,4944.2
3664.3,4942
3363.7,4944.7
3668.9,4947.9
3700.1,4948.8
3324.2,4952.1
3407,4952.7
3459.2,4944.3
3953.7,4942.8
3482.4,4944.2
3567.5,4943.1
3643.4,4944.3
3945.1,4945.2
3839,4945
3189.1,4945.9
3829.8,4945.1
3202.1,4948.6
3484.9,4951.8
3771.1,4953.5
3956.2,4947
3382.7,4947.5
3395.5,4947.7
3453.8,4946.8
3717.3,4948.7
3420.9,4951.1
3531.1,4950.3
3446.8,4948.8
3274.9,4952.7
3401.7,4949.8
3564.9,4951.9
3625.7,4951.3
3813.6,4950.2
3313.1,4952.8
3789.2,4953.2
3493.6,4951.3
3600.1,4950.3
3242.6,4952.2
3674.4,4953
3358.7,4954.1
3377.7,4951.5
3191.6,4952.6
3831.2,4954.9
3837.8,4952.3
3297.7,4955.9
3609.8,4954.2
3822.7,4954.6
3388.3,4956.4
3682.2,4953.2
3868.3,4957.5
3707.2,4957.6
3351.7,4957.6
3199.4,4959.8
3364.2,4955.3
3455.7,4955.8
3556,4955.7
3714.8,4956
3291.3,4957.7
3547.3,4961.6
3740.3,4961
3761.3,4958.1
3749.7,4959.1
3965.5,4961.1
3396.4,4959.2
3309.5,4960.3
3177.3,4961.7
3374.9,4959.2
3815,4960.7
3612.7,4963.1
3186.9,4960.6
3645.3,4961.3
3779.4,4963.5
3285.7,4961.2
3364.7,4964.6
3494.5,4964.6
3236.4,4961.7
3246.1,4965.1
3605.1,4963.3
3679.6,4967
3690.9,4962.7
3833.8,4962.9
3842.1,4963.7
3282.4,4964.2
3370.1,4962.7
3564.2,4964.1
3295.4,4964.9
3826.8,4963.6
3382.3,4964.7
3714.3,4964.8
3411.9,4967.8
3391,4965.4
3596,4966.3
3449.6,4969.4
3324.1,4973
3533.6,4967.7
3185.9,4974.2
3317.5,4968.2
3903.3,4970.7
3396,4970.4
3774.3,4969
3199.2,4969.1
3569,4969.1
3708.8,4970.9
3849.8,4968.2
3874.4,4968.1
3206,4973.9
3312.6,4971.3
3372.5,4970.8
3555,4972.1
3657.2,4971.3
3691.7,4969.8
3827.1,4971.1
3607.3,4970.7
3925.9,4972.6
3526.3,4971.9
3648.6,4974.9
3241.2,4972.3
3331.2,4973.9
3380.9,4976.9
3602.3,4972.6
3293.5,4973.6
3807.2,4974.6
3274.2,4972.3
3287.6,4974.9
3684.4,4974.9
3859.7,4974.8
3509.7,4976.7
3337.8,4977.8
3499.9,4976.1
3560.6,4975.4
3780.6,4975.4
3417.9,4979.4
3370.4,4983
3713.3,4977.8
3818,4979.4
3823.6,4977.4
3219.5,4978.2
3249.1,4985.3
3275.7,4979.1
3533.7,4983.5
3606.4,4979.3
3197.3,4978.4
3447.1,4980.1
3322.7,4989.2
3940.8,4984.7
3750.3,4981.7
3313,4979.8
3492.2,4979.6
3929.6,4978.9
3238.8,4982.2
3864.4,4978.9
3659.1,4982.9
3873.1,4980.9
3264.4,4981
3295.5,4981.7
3393.6,4985.5
3552.8,4983.9
